T = 100;
m = 4;
V = 1;
R =  [[1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1
         1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1
         1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1]];
u =  [[1]
         [1]
         [1]
         [1]];
N = 2;
a =  [8 2];
p =  [[[0 3 1 2]
             [2 3 1 1]
             [0 3 2 1]
             [2 1 2 2]
             [0 2 1 0]
             [3 0 3 2]
             [0 3 3 0]
             [0 0 1 0]]
         [[2 3 2 3]
             [2 3 1 1]
             [0 0 0 0]
             [0 0 0 0]
             [0 0 0 0]
             [0 0 0 0]
             [0 0 0 0]
             [0 0 0 0]]];
l =  [[3 1 4 3 3 1 4 0]
         [4 0 0 0 0 0 0 0]];
